item,sentence,condition,head_num,attr_num,verb_num,verb,surprisal,model,token
6,damatların dayısı arada sırada sıkıldılar,condition_a,sg,pl,pl,sıkıldılar,15.001882907279176,bert,
6,damatların dayısı arada sırada sıkıldı,condition_b,sg,pl,sg,sıkıldı,15.001882907279176,bert,
6,damatın dayısı arada sırada sıkıldılar,condition_c,sg,sg,pl,sıkıldılar,14.80980442762835,bert,
6,damatın dayısı arada sırada sıkıldı,condition_d,sg,sg,sg,sıkıldı,14.80980442762835,bert,
7,doktorların çiçekçisi günden güne zayıfladılar,condition_a,sg,pl,pl,zayıfladılar,16.26756377287169,bert,
7,doktorların çiçekçisi günden güne zayıfladı,condition_b,sg,pl,sg,zayıfladı,16.26756377287169,bert,
7,doktorun çiçekçisi günden güne zayıfladılar,condition_c,sg,sg,pl,zayıfladılar,12.583273001999808,bert,
7,doktorun çiçekçisi günden güne zayıfladı,condition_d,sg,sg,sg,zayıfladı,12.583273001999808,bert,
8,stajyerlerin eniştesi geceden önce uyudular,condition_a,sg,pl,pl,uyudular,14.637576873470714,bert,
8,stajyerlerin eniştesi geceden önce uyudu,condition_b,sg,pl,sg,uyudu,14.637576873470714,bert,
8,stajyerin eniştesi geceden önce uyudular,condition_c,sg,sg,pl,uyudular,14.78222528973599,bert,
8,stajyerin eniştesi geceden önce uyudu,condition_d,sg,sg,sg,uyudu,14.78222528973599,bert,
9,aristokratların hizmetçisi yorgun argın yattılar,condition_a,sg,pl,pl,yattılar,13.513573939797775,bert,
9,aristokratların hizmetçisi yorgun argın yattı,condition_b,sg,pl,sg,yattı,13.513573939797775,bert,
9,aristokratın hizmetçisi yorgun argın yattılar,condition_c,sg,sg,pl,yattılar,13.506104389305502,bert,
9,aristokratın hizmetçisi yorgun argın yattı,condition_d,sg,sg,sg,yattı,13.506104389305502,bert,
10,konuşmacıların sunucusu olağanüstü hızlı koştular,condition_a,sg,pl,pl,koştular,19.055048947027643,bert,
10,konuşmacıların sunucusu olağanüstü hızlı koştu,condition_b,sg,pl,sg,koştu,19.055048947027643,bert,
10,konuşmacının sunucusu olağanüstü hızlı koştular,condition_c,sg,sg,pl,koştular,18.486549975641577,bert,
10,konuşmacının sunucusu olağanüstü hızlı koştu,condition_d,sg,sg,sg,koştu,18.486549975641577,bert,
11,psikiyatristlerin eczacısı aç susuz dolaştılar,condition_a,sg,pl,pl,dolaştılar,16.769142231015227,bert,
11,psikiyatristlerin eczacısı aç susuz dolaştı,condition_b,sg,pl,sg,dolaştı,16.769142231015227,bert,
11,psikiyatristin eczacısı aç susuz dolaştılar,condition_c,sg,sg,pl,dolaştılar,15.874301364102756,bert,
11,psikiyatristin eczacısı aç susuz dolaştı,condition_d,sg,sg,sg,dolaştı,15.874301364102756,bert,
12,politikacıların hocası adliyeden çabucak çıktılar,condition_a,sg,pl,pl,çıktılar,10.261231355179907,bert,
12,politikacıların hocası adliyeden çabucak çıktı,condition_b,sg,pl,sg,çıktı,4.725131493720107,bert,
12,politikacının hocası adliyeden çabucak çıktılar,condition_c,sg,sg,pl,çıktılar,11.21169553896503,bert,
12,politikacının hocası adliyeden çabucak çıktı,condition_d,sg,sg,sg,çıktı,5.478607437137572,bert,
13,hakimlerin çaycısı nedensiz yere kızdılar,condition_a,sg,pl,pl,kızdılar,16.7272582641547,bert,
13,hakimlerin çaycısı nedensiz yere kızdı,condition_b,sg,pl,sg,kızdı,16.7272582641547,bert,
13,hakimin çaycısı nedensiz yere kızdılar,condition_c,sg,sg,pl,kızdılar,16.599513678677425,bert,
13,hakimin çaycısı nedensiz yere kızdı,condition_d,sg,sg,sg,kızdı,16.599513678677425,bert,
14,oyuncuların hemşiresi etrafta amaçsızca gezdiler,condition_a,sg,pl,pl,gezdiler,15.945156840397026,bert,
14,oyuncuların hemşiresi etrafta amaçsızca gezdi,condition_b,sg,pl,sg,gezdi,15.945156840397026,bert,
14,oyuncunun hemşiresi etrafta amaçsızca gezdiler,condition_c,sg,sg,pl,gezdiler,14.68406172020712,bert,
14,oyuncunun hemşiresi etrafta amaçsızca gezdi,condition_d,sg,sg,sg,gezdi,14.68406172020712,bert,
15,öğretmenlerin müdiresi biraz önce aradılar,condition_a,sg,pl,pl,aradılar,15.847181763853502,bert,
15,öğretmenlerin müdiresi biraz önce aradı,condition_b,sg,pl,sg,aradı,12.371804510360105,bert,
15,öğretmenin müdiresi biraz önce aradılar,condition_c,sg,sg,pl,aradılar,14.709951300537403,bert,
15,öğretmenin müdiresi biraz önce aradı,condition_d,sg,sg,sg,aradı,13.139313550157372,bert,
16,milyonerlerin terzisi tamamen gereksizce bağırdılar,condition_a,sg,pl,pl,bağırdılar,17.67673320373206,bert,
16,milyonerlerin terzisi tamamen gereksizce bağırdı,condition_b,sg,pl,sg,bağırdı,17.67673320373206,bert,
16,milyonerin terzisi tamamen gereksizce bağırdılar,condition_c,sg,sg,pl,bağırdılar,17.84446444346554,bert,
16,milyonerin terzisi tamamen gereksizce bağırdı,condition_d,sg,sg,sg,bağırdı,17.84446444346554,bert,
17,bebeklerin bakıcısı çok kibar davrandılar,condition_a,sg,pl,pl,davrandılar,17.819631524542157,bert,
17,bebeklerin bakıcısı çok kibar davrandı,condition_b,sg,pl,sg,davrandı,17.819631524542157,bert,
17,bebeğin bakıcısı çok kibar davrandılar,condition_c,sg,sg,pl,davrandılar,18.411875108636945,bert,
17,bebeğin bakıcısı çok kibar davrandı,condition_d,sg,sg,sg,davrandı,18.411875108636945,bert,
18,çocukların dadısı yüksek sesle konuştular,condition_a,sg,pl,pl,konuştular,13.957070417091924,bert,
18,çocukların dadısı yüksek sesle konuştu,condition_b,sg,pl,sg,konuştu,7.549162637219106,bert,
18,çocuğun dadısı yüksek sesle konuştular,condition_c,sg,sg,pl,konuştular,13.664463262497563,bert,
18,çocuğun dadısı yüksek sesle konuştu,condition_d,sg,sg,sg,konuştu,8.261222406586393,bert,
19,futbolcuların sürücüsü çok yavaş çalıştılar,condition_a,sg,pl,pl,çalıştılar,26.218862441209314,bert,
19,futbolcuların sürücüsü çok yavaş çalıştı,condition_b,sg,pl,sg,çalıştı,20.241261445170675,bert,
19,futbolcunun sürücüsü çok yavaş çalıştılar,condition_c,sg,sg,pl,çalıştılar,28.986308196886736,bert,
19,futbolcunun sürücüsü çok yavaş çalıştı,condition_d,sg,sg,sg,çalıştı,21.315217427442537,bert,
20,modacıların taksicisi saatlerce durmaksızın içtiler,condition_a,sg,pl,pl,içtiler,12.656005152980294,bert,
20,modacıların taksicisi saatlerce durmaksızın içti,condition_b,sg,pl,sg,içti,12.656005152980294,bert,
20,modacının taksicisi saatlerce durmaksızın içtiler,condition_c,sg,sg,pl,içtiler,12.705592566738266,bert,
20,modacının taksicisi saatlerce durmaksızın içti,condition_d,sg,sg,sg,içti,12.705592566738266,bert,
21,sanatçıların çalgıcısı feci bir şekilde öldüler,condition_a,sg,pl,pl,öldüler,13.727707474595247,bert,
21,sanatçıların çalgıcısı feci bir şekilde öldü,condition_b,sg,pl,sg,öldü,10.248134532351404,bert,
21,sanatçının çalgıcısı feci bir şekilde öldüler,condition_c,sg,sg,pl,öldüler,13.295947093395977,bert,
21,sanatçının çalgıcısı feci bir şekilde öldü,condition_d,sg,sg,sg,öldü,8.486729498050725,bert,
22,dedektiflerin dişçisi ilk kez çılgınca eğlendiler,condition_a,sg,pl,pl,eğlendiler,18.033100518376695,bert,
22,dedektiflerin dişçisi ilk kez çılgınca eğlendi,condition_b,sg,pl,sg,eğlendi,18.033100518376695,bert,
22,dedektifin dişçisi ilk kez çılgınca eğlendiler,condition_c,sg,sg,pl,eğlendiler,17.36930664807815,bert,
22,dedektifin dişçisi ilk kez çılgınca eğlendi,condition_d,sg,sg,sg,eğlendi,17.36930664807815,bert,
23,esnafların müşterisi şikayettten hemen sonra sustular,condition_a,sg,pl,pl,sustular,16.46684075835703,bert,
23,esnafların müşterisi şikayettten hemen sonra sustu,condition_b,sg,pl,sg,sustu,16.46684075835703,bert,
23,esnafın müşterisi şikayettten hemen sonra sustular,condition_c,sg,sg,pl,sustular,16.65846382794837,bert,
23,esnafın müşterisi şikayettten hemen sonra sustu,condition_d,sg,sg,sg,sustu,16.65846382794837,bert,
24,şarkıcıların koruması her zamanki gibi geciktiler,condition_a,sg,pl,pl,geciktiler,13.955924324706574,bert,
24,şarkıcıların koruması her zamanki gibi gecikti,condition_b,sg,pl,sg,gecikti,13.955924324706574,bert,
24,şarkıcının koruması her zamanki gibi geciktiler,condition_c,sg,sg,pl,geciktiler,13.727113102553867,bert,
24,şarkıcının koruması her zamanki gibi gecikti,condition_d,sg,sg,sg,gecikti,13.727113102553867,bert,
25,göstericilerin izleyicisi akşama kadar sessizce oturdular,condition_a,sg,pl,pl,oturdular,13.238232467488832,bert,
25,göstericilerin izleyicisi akşama kadar sessizce oturdu,condition_b,sg,pl,sg,oturdu,7.00627738599134,bert,
25,göstericinin izleyicisi akşama kadar sessizce oturdular,condition_c,sg,sg,pl,oturdular,13.801225242324874,bert,
25,göstericinin izleyicisi akşama kadar sessizce oturdu,condition_d,sg,sg,sg,oturdu,8.577839027171805,bert,
26,cerrahların hastası akşamki gösteriden önce kaçtılar,condition_a,sg,pl,pl,kaçtılar,16.182202591873047,bert,
26,cerrahların hastası akşamki gösteriden önce kaçtı,condition_b,sg,pl,sg,kaçtı,21.094175693525205,bert,
26,cerrahın hastası akşamki gösteriden önce kaçtılar,condition_c,sg,sg,pl,kaçtılar,15.759312387874676,bert,
26,cerrahın hastası akşamki gösteriden önce kaçtı,condition_d,sg,sg,sg,kaçtı,19.860180911527657,bert,
27,dalgıçların annesi bile bile geç kaldılar,condition_a,sg,pl,pl,kaldılar,16.807114624464525,bert,
27,dalgıçların annesi bile bile geç kaldı,condition_b,sg,pl,sg,kaldı,11.327933797168978,bert,
27,dalgıcın annesi bile bile geç kaldılar,condition_c,sg,sg,pl,kaldılar,16.518065446951216,bert,
27,dalgıcın annesi bile bile geç kaldı,condition_d,sg,sg,sg,kaldı,9.220380657337932,bert,
28,fabrikatörlerin işçisi beklenmedik bir anda hastalandılar,condition_a,sg,pl,pl,hastalandılar,13.959352970834175,bert,
28,fabrikatörlerin işçisi beklenmedik bir anda hastalandı,condition_b,sg,pl,sg,hastalandı,13.959352970834175,bert,
28,fabrikatörün işçisi beklenmedik bir anda hastalandılar,condition_c,sg,sg,pl,hastalandılar,14.526656318831442,bert,
28,fabrikatörün işçisi beklenmedik bir anda hastalandı,condition_d,sg,sg,sg,hastalandı,14.526656318831442,bert,
29,komedyenlerin yardımcısı poyrazdan dolayı üşüdüler,condition_a,sg,pl,pl,üşüdüler,17.321342750544325,bert,
29,komedyenlerin yardımcısı poyrazdan dolayı üşüdü,condition_b,sg,pl,sg,üşüdü,17.321342750544325,bert,
29,komedyenin yardımcısı poyrazdan dolayı üşüdüler,condition_c,sg,sg,pl,üşüdüler,17.771192954891948,bert,
29,komedyenin yardımcısı poyrazdan dolayı üşüdü,condition_d,sg,sg,sg,üşüdü,17.771192954891948,bert,
30,şoförlerin yolcusu yemekten sonra yine acıktılar,condition_a,sg,pl,pl,acıktılar,12.990775574260182,bert,
30,şoförlerin yolcusu yemekten sonra yine acıktı,condition_b,sg,pl,sg,acıktı,12.990775574260182,bert,
30,şoförün yolcusu yemekten sonra yine acıktılar,condition_c,sg,sg,pl,acıktılar,13.241850982462985,bert,
30,şoförün yolcusu yemekten sonra yine acıktı,condition_d,sg,sg,sg,acıktı,13.241850982462985,bert,
31,mühendislerin kapıcısı erken ödemeden dolayı sevindiler,condition_a,sg,pl,pl,sevindiler,18.4770070023105,bert,
31,mühendislerin kapıcısı erken ödemeden dolayı sevindi,condition_b,sg,pl,sg,sevindi,18.4770070023105,bert,
31,mühendisin kapıcısı erken ödemeden dolayı sevindiler,condition_c,sg,sg,pl,sevindiler,17.099066869124403,bert,
31,mühendisin kapıcısı erken ödemeden dolayı sevindi,condition_d,sg,sg,sg,sevindi,17.099066869124403,bert,
32,pazarcıların nakliyecisi mesaiden hemen sonra uzandılar,condition_a,sg,pl,pl,uzandılar,15.153538584671209,bert,
32,pazarcıların nakliyecisi mesaiden hemen sonra uzandı,condition_b,sg,pl,sg,uzandı,15.153538584671209,bert,
32,pazarcının nakliyecisi mesaiden hemen sonra uzandılar,condition_c,sg,sg,pl,uzandılar,15.304551734879617,bert,
32,pazarcının nakliyecisi mesaiden hemen sonra uzandı,condition_d,sg,sg,sg,uzandı,15.304551734879617,bert,
33,oyuncuların eğitimcisi ilk denemede epey zorlandılar,condition_a,sg,pl,pl,zorlandılar,14.464145440757036,bert,
33,oyuncuların eğitimcisi ilk denemede epey zorlandı,condition_b,sg,pl,sg,zorlandı,14.464145440757036,bert,
33,oyuncunun eğitimcisi ilk denemede epey zorlandılar,condition_c,sg,sg,pl,zorlandılar,13.99592473757485,bert,
33,oyuncunun eğitimcisi ilk denemede epey zorlandı,condition_d,sg,sg,sg,zorlandı,13.99592473757485,bert,
34,mankenlerin modacısı geç bir vakitte kalktılar,condition_a,sg,pl,pl,kalktılar,14.303345789783931,bert,
34,mankenlerin modacısı geç bir vakitte kalktı,condition_b,sg,pl,sg,kalktı,14.878508056995026,bert,
34,mankenin modacısı geç bir vakitte kalktılar,condition_c,sg,sg,pl,kalktılar,13.938642132086672,bert,
34,mankenin modacısı geç bir vakitte kalktı,condition_d,sg,sg,sg,kalktı,15.252881267254393,bert,
35,konukların teyzesi müthiş bir ağrıyla uyandılar,condition_a,sg,pl,pl,uyandılar,15.688785742408855,bert,
35,konukların teyzesi müthiş bir ağrıyla uyandı,condition_b,sg,pl,sg,uyandı,15.688785742408855,bert,
35,konuğun teyzesi müthiş bir ağrıyla uyandılar,condition_c,sg,sg,pl,uyandılar,15.6656726499941,bert,
35,konuğun teyzesi müthiş bir ağrıyla uyandı,condition_d,sg,sg,sg,uyandı,15.6656726499941,bert,
36,oğlanların amcası boş bir caddede yürüdüler,condition_a,sg,pl,pl,yürüdüler,17.960662801694486,bert,
36,oğlanların amcası boş bir caddede yürüdü,condition_b,sg,pl,sg,yürüdü,16.86224538302511,bert,
36,oğlanın amcası boş bir caddede yürüdüler,condition_c,sg,sg,pl,yürüdüler,17.910040740308926,bert,
36,oğlanın amcası boş bir caddede yürüdü,condition_d,sg,sg,sg,yürüdü,16.638394140523285,bert,
37,avukatların komşusu toplantıdan sonra birden sarardılar,condition_a,sg,pl,pl,sarardılar,15.734266210464222,bert,
37,avukatların komşusu toplantıdan sonra birden sarardı,condition_b,sg,pl,sg,sarardı,15.734266210464222,bert,
37,avukatın komşusu toplantıdan sonra birden sarardılar,condition_c,sg,sg,pl,sarardılar,15.676008119380352,bert,
37,avukatın komşusu toplantıdan sonra birden sarardı,condition_d,sg,sg,sg,sarardı,15.676008119380352,bert,
38,ünlülerin falcısı yabancı bir ülkede kayboldular,condition_a,sg,pl,pl,kayboldular,20.45208465790434,bert,
38,ünlülerin falcısı yabancı bir ülkede kayboldu,condition_b,sg,pl,sg,kayboldu,20.128648581246914,bert,
38,ünlünün falcısı yabancı bir ülkede kayboldular,condition_c,sg,sg,pl,kayboldular,20.419084626856787,bert,
38,ünlünün falcısı yabancı bir ülkede kayboldu,condition_d,sg,sg,sg,kayboldu,18.776639304227306,bert,
39,çiftçilerin bekçisi normalden çok yavaş gezindiler,condition_a,sg,pl,pl,gezindiler,20.877243657032892,bert,
39,çiftçilerin bekçisi normalden çok yavaş gezindi,condition_b,sg,pl,sg,gezindi,20.877243657032892,bert,
39,çiftçinin bekçisi normalden çok yavaş gezindiler,condition_c,sg,sg,pl,gezindiler,21.023698579062835,bert,
39,çiftçinin bekçisi normalden çok yavaş gezindi,condition_d,sg,sg,sg,gezindi,21.023698579062835,bert,
40,kadınların ninesi geçen seneye göre dinçleştiler,condition_a,sg,pl,pl,dinçleştiler,14.357982614171235,bert,
40,kadınların ninesi geçen seneye göre dinçleşti,condition_b,sg,pl,sg,dinçleşti,14.357982614171235,bert,
40,kadının ninesi geçen seneye göre dinçleştiler,condition_c,sg,sg,pl,dinçleştiler,13.74219116552031,bert,
40,kadının ninesi geçen seneye göre dinçleşti,condition_d,sg,sg,sg,dinçleşti,13.74219116552031,bert,
1,Şarkıcıların vokalisti sahnede sürekli zıpladılar,condition_a,sg,pl,pl,zıpladılar,12.311082251854673,bert,
1,Şarkıcıların vokalisti sahnede sürekli zıpladı,condition_b,sg,pl,sg,zıpladı,12.311082251854673,bert,
1,Şarkıcının vokalisti sahnede sürekli zıpladılar,condition_c,sg,sg,pl,zıpladılar,12.354489297071238,bert,
1,Şarkıcının vokalisti sahnede sürekli zıpladı,condition_d,sg,sg,sg,zıpladı,12.354489297071238,bert,
2,Öğrencilerin danışmanı sınıfta birden bayıldılar,condition_a,sg,pl,pl,bayıldılar,22.117359645539953,bert,
2,Öğrencilerin danışmanı sınıfta birden bayıldı,condition_b,sg,pl,sg,bayıldı,22.117359645539953,bert,
2,Öğrencinin danışmanı sınıfta birden bayıldılar,condition_c,sg,sg,pl,bayıldılar,21.67433921622339,bert,
2,Öğrencinin danışmanı sınıfta birden bayıldı,condition_d,sg,sg,sg,bayıldı,21.67433921622339,bert,
3,Ressamların rakibi atölyeden hızla uzaklaştılar,condition_a,sg,pl,pl,uzaklaştılar,18.297232849433005,bert,
3,Ressamların rakibi atölyeden hızla uzaklaştı,condition_b,sg,pl,sg,uzaklaştı,18.297232849433005,bert,
3,Ressamın rakibi atölyeden hızla uzaklaştılar,condition_c,sg,sg,pl,uzaklaştılar,17.16665605091349,bert,
3,Ressamın rakibi atölyeden hızla uzaklaştı,condition_d,sg,sg,sg,uzaklaştı,17.16665605091349,bert,
4,Subayların düşmanı aniden küstahça güldülar,condition_a,sg,pl,pl,güldülar,16.127418550336603,bert,
4,Subayların düşmanı aniden küstahça güldü,condition_b,sg,pl,sg,güldü,16.127418550336603,bert,
4,Subayın düşmanı aniden küstahça güldülar,condition_c,sg,sg,pl,güldülar,15.690643155038172,bert,
4,Subayın düşmanı aniden küstahça güldü,condition_d,sg,sg,sg,güldü,15.690643155038172,bert,
5,Müzisyenlerin hayranı sabaha kadar ağladılar,condition_a,sg,pl,pl,ağladılar,13.54421161715308,bert,
5,Müzisyenlerin hayranı sabaha kadar ağladı,condition_b,sg,pl,sg,ağladı,13.54421161715308,bert,
5,Müzisyenin hayranı sabaha kadar ağladılar,condition_c,sg,sg,pl,ağladılar,13.583958871559284,bert,
5,Müzisyenin hayranı sabaha kadar ağladı,condition_d,sg,sg,sg,ağladı,13.583958871559284,bert,
6,Borsacıların çalışanı arada sırada sıkıldılar,condition_a,sg,pl,pl,sıkıldılar,15.782557562965293,bert,
6,Borsacıların çalışanı arada sırada sıkıldı,condition_b,sg,pl,sg,sıkıldı,15.782557562965293,bert,
6,Borsacının çalışanı arada sırada sıkıldılar,condition_c,sg,sg,pl,sıkıldılar,15.044004898128495,bert,
6,Borsacının çalışanı arada sırada sıkıldı,condition_d,sg,sg,sg,sıkıldı,15.044004898128495,bert,
7,Profesörlerin sekreteri günden güne zayıfladılar,condition_a,sg,pl,pl,zayıfladılar,13.075612552138995,bert,
7,Profesörlerin sekreteri günden güne zayıfladı,condition_b,sg,pl,sg,zayıfladı,13.075612552138995,bert,
7,Profesörün sekreteri günden güne zayıfladılar,condition_c,sg,sg,pl,zayıfladılar,12.624565348541365,bert,
7,Profesörün sekreteri günden güne zayıfladı,condition_d,sg,sg,sg,zayıfladı,12.624565348541365,bert,
8,Veterinerlerin asistanı geceden önce uyudular,condition_a,sg,pl,pl,uyudular,11.668976081760531,bert,
8,Veterinerlerin asistanı geceden önce uyudu,condition_b,sg,pl,sg,uyudu,11.668976081760531,bert,
8,Veterinerin asistanı geceden önce uyudular,condition_c,sg,sg,pl,uyudular,11.226843082922423,bert,
8,Veterinerin asistanı geceden önce uyudu,condition_d,sg,sg,sg,uyudu,11.226843082922423,bert,
9,Yönetmenlerin masörü yorgun argın yattılar,condition_a,sg,pl,pl,yattılar,14.996629869191223,bert,
9,Yönetmenlerin masörü yorgun argın yattı,condition_b,sg,pl,sg,yattı,14.996629869191223,bert,
9,Yönetmenin masörü yorgun argın yattılar,condition_c,sg,sg,pl,yattılar,13.58546268785843,bert,
9,Yönetmenin masörü yorgun argın yattı,condition_d,sg,sg,sg,yattı,13.58546268785843,bert,
10,Teknisyenlerin eğitmeni olağanüstü hızlı koştular,condition_a,sg,pl,pl,koştular,20.288900639459673,bert,
10,Teknisyenlerin eğitmeni olağanüstü hızlı koştu,condition_b,sg,pl,sg,koştu,20.288900639459673,bert,
10,Teknisyenin eğitmeni olağanüstü hızlı koştular,condition_c,sg,sg,pl,koştular,19.68649081690708,bert,
10,Teknisyenin eğitmeni olağanüstü hızlı koştu,condition_d,sg,sg,sg,koştu,19.68649081690708,bert,
11,Turistlerin rehberi aç susuz dolaştılar,condition_a,sg,pl,pl,dolaştılar,15.559222268416056,bert,
11,Turistlerin rehberi aç susuz dolaştı,condition_b,sg,pl,sg,dolaştı,15.559222268416056,bert,
11,Turistin rehberi aç susuz dolaştılar,condition_c,sg,sg,pl,dolaştılar,16.315584080715,bert,
11,Turistin rehberi aç susuz dolaştı,condition_d,sg,sg,sg,dolaştı,16.315584080715,bert,
12,Zanlıların şahidi adliyeden çabucak çıktılar,condition_a,sg,pl,pl,çıktılar,12.882265528455404,bert,
12,Zanlıların şahidi adliyeden çabucak çıktı,condition_b,sg,pl,sg,çıktı,3.5519091891620436,bert,
12,Zanlının şahidi adliyeden çabucak çıktılar,condition_c,sg,sg,pl,çıktılar,11.419692732779717,bert,
12,Zanlının şahidi adliyeden çabucak çıktı,condition_d,sg,sg,sg,çıktı,3.3631637332849387,bert,
13,Bursiyerlerin kefili nedensiz yere kızdılar,condition_a,sg,pl,pl,kızdılar,19.281801880814825,bert,
13,Bursiyerlerin kefili nedensiz yere kızdı,condition_b,sg,pl,sg,kızdı,19.281801880814825,bert,
13,Bursiyerin kefili nedensiz yere kızdılar,condition_c,sg,sg,pl,kızdılar,18.049583335635386,bert,
13,Bursiyerin kefili nedensiz yere kızdı,condition_d,sg,sg,sg,kızdı,18.049583335635386,bert,
14,Futbolcuların kaptanı etrafta amaçsızca gezdilar,condition_a,sg,pl,pl,gezdilar,15.829742723056013,bert,
14,Futbolcuların kaptanı etrafta amaçsızca gezdi,condition_b,sg,pl,sg,gezdi,15.829742723056013,bert,
14,Futbolcunun kaptanı etrafta amaçsızca gezdilar,condition_c,sg,sg,pl,gezdilar,16.08026916263726,bert,
14,Futbolcunun kaptanı etrafta amaçsızca gezdi,condition_d,sg,sg,sg,gezdi,16.08026916263726,bert,
15,Yazarların editörü biraz önce aradılar,condition_a,sg,pl,pl,aradılar,15.959186497123811,bert,
15,Yazarların editörü biraz önce aradı,condition_b,sg,pl,sg,aradı,13.35323657819019,bert,
15,Yazarın editörü biraz önce aradılar,condition_c,sg,sg,pl,aradılar,15.505313274607204,bert,
15,Yazarın editörü biraz önce aradı,condition_d,sg,sg,sg,aradı,13.576675062329944,bert,
16,Askerlerin berberi tamamen gereksizce bağırdılar,condition_a,sg,pl,pl,bağırdılar,17.731539259047814,bert,
16,Askerlerin berberi tamamen gereksizce bağırdı,condition_b,sg,pl,sg,bağırdı,17.731539259047814,bert,
16,Askerin berberi tamamen gereksizce bağırdılar,condition_c,sg,sg,pl,bağırdılar,17.110699775628763,bert,
16,Askerin berberi tamamen gereksizce bağırdı,condition_d,sg,sg,sg,bağırdı,17.110699775628763,bert,
17,Yarışmacıların koçu çok kibar davrandılar,condition_a,sg,pl,pl,davrandılar,21.86930012510268,bert,
17,Yarışmacıların koçu çok kibar davrandı,condition_b,sg,pl,sg,davrandı,21.86930012510268,bert,
17,Yarışmacının koçu çok kibar davrandılar,condition_c,sg,sg,pl,davrandılar,21.57226269742209,bert,
17,Yarışmacının koçu çok kibar davrandı,condition_d,sg,sg,sg,davrandı,21.57226269742209,bert,
18,Sporcuların antrenörü yüksek sesle konuştular,condition_a,sg,pl,pl,konuştular,17.372184949722993,bert,
18,Sporcuların antrenörü yüksek sesle konuştu,condition_b,sg,pl,sg,konuştu,7.150382337079891,bert,
18,Sporcunun antrenörü yüksek sesle konuştular,condition_c,sg,sg,pl,konuştular,17.87624546148378,bert,
18,Sporcunun antrenörü yüksek sesle konuştu,condition_d,sg,sg,sg,konuştu,7.33563035376905,bert,
19,Berberlerin çırağı çok yavaş çalıştılar,condition_a,sg,pl,pl,çalıştılar,33.40656226180402,bert,
19,Berberlerin çırağı çok yavaş çalıştı,condition_b,sg,pl,sg,çalıştı,28.684529551487163,bert,
19,Berberin çırağı çok yavaş çalıştılar,condition_c,sg,sg,pl,çalıştılar,33.89739524392165,bert,
19,Berberin çırağı çok yavaş çalıştı,condition_d,sg,sg,sg,çalıştı,24.895438056624315,bert,
20,Muhabirlerin patronu saatlerce durmaksızın içtilar,condition_a,sg,pl,pl,içtilar,14.337981719806493,bert,
20,Muhabirlerin patronu saatlerce durmaksızın içti,condition_b,sg,pl,sg,içti,14.337981719806493,bert,
20,Muhabirin patronu saatlerce durmaksızın içtilar,condition_c,sg,sg,pl,içtilar,14.408833068517144,bert,
20,Muhabirin patronu saatlerce durmaksızın içti,condition_d,sg,sg,sg,içti,14.408833068517144,bert,
21,Oyuncuların dublörü feci bir şekilde öldülar,condition_a,sg,pl,pl,öldülar,14.491668168339913,bert,
